neighbourhood,area,rooms,parking,bathrooms,price,lat_value,lon_value,has_multiple_parking_spaces
Jardim Esplanada,124.77,4,3,3,1090000.0,-23.1979166,-45.9113619,1
Palmeiras de São José,124.52,2,0,2,335000.0,-23.2502173,-45.9170663,0
Jardim Oswaldo Cruz,124.65,3,2,3,590000.0,-23.2012499,-45.8834841,1
Parque Residencial Flamboyant,124.97,2,1,2,300000.0,-23.214223,-45.851209,0
Vila Ema,124.15,2,2,2,848500.0,-23.2038811,-45.9021055,1
Parque Industrial,124.96,2,1,2,515000.0,-23.2267306,-45.9036805,0
Jardim América,124.01,2,1,2,300000.0,-23.2319718,-45.8942925,0
Jardim das Colinas,124.72,3,4,5,3500000.0,-23.2082214,-45.9083253,1
Jardim das Colinas,124.51,4,3,5,2700000.0,-23.2034236,-45.9105214,1
Altos do Esplanada,124.07,3,3,5,2160000.0,-23.2127421,-45.9069145,1
Jardim Augusta,124.45,2,2,2,365000.0,-23.1966424,-45.8804728,1
Conjunto Residencial Trinta e Um de Março,124.68,3,2,2,860000.0,-23.2461706,-45.9154222,1
Jardim Portugal,124.5,3,1,2,459900.0,-23.258028,-45.881022,0
Cidade Vista Verde,124.86,3,2,2,372341.0,-23.1767396,-45.8279302,1
Monte Castelo,124.32,2,1,2,380000.0,-23.1417569,-45.7825794,0
Vila São Benedito,124.21,2,1,1,285000.0,-23.1959281,-45.8649342,0
Jardim Augusta,124.77,2,2,2,385000.0,-23.1966424,-45.8804728,1
Jardim América,124.86,3,1,2,488000.0,-23.2380792,-45.9010799,0
Vila Ema,124.74,3,3,5,1600000.0,-23.2057437,-45.9034166,1
Parque Residencial Aquarius,124.88,2,2,3,1700000.0,-23.2190993,-45.9082337,1
Floradas de São José,124.94,2,1,2,400000.0,-23.2210113,-45.8861064,0
Jardim Anhembi,124.33,2,1,2,425000.0,-23.2216165,-45.8990302,0
Vila Maria,124.18,2,1,2,369430.0,-23.1780209,-45.8803006,0
Monte Castelo,124.57,2,1,2,520000.0,-23.1417569,-45.7825794,0
Jardim das Indústrias,124.04,3,3,4,1350000.0,-23.2327074,-45.9275569,1
Conjunto Residencial Trinta e Um de Março,124.87,2,1,2,550000.0,-23.2534054,-45.9166353,0
Jardim San Marino,124.3,2,1,2,417000.0,-23.2285629,-45.8969811,0
Jardim Minas Gerais,125.0,2,1,1,190000.0,-23.1524341,-45.9119804,0
Jardim América,124.46,2,1,2,427000.0,-23.2307302,-45.8975618,0
Parque Residencial Aquarius,124.87,1,2,2,980000.0,-23.2157422,-45.9060993,1
Monte Castelo,124.51,2,1,1,285000.0,-23.1775485,-45.8397078,0
Jardim Satélite,124.17,3,2,2,435000.0,-23.2629313,-45.8910605,1
Parque Industrial,124.21,2,1,2,410000.0,-23.2501304,-45.9122459,0
Vila Ema,124.37,4,2,5,1350000.0,-23.2058824,-45.9025149,1
Vila Ema,124.28,3,2,3,1200000.0,-23.2071612,-45.9009565,1
Floradas de São José,124.74,3,1,2,475000.0,-23.2213004,-45.8883248,0
Monte Castelo,124.1,2,2,2,320000.0,-23.1872533,-45.8692293,1
Jardim Rodolfo,124.59,2,1,1,337710.0,-23.1755961,-45.813336,0
Jardim Sul,124.67,2,1,1,270000.0,-23.2505639,-45.8914715,0
Cidade Morumbi,124.72,3,1,1,320000.0,-23.2522323,-45.89789,0
Jardim Topázio,124.53,2,1,1,298500.0,-23.1961965,-45.8841151,0
Jardim Vale do Sol,124.77,2,1,2,467000.0,-23.2563576,-45.9119822,0
Jardim Portugal,124.03,3,2,2,459900.0,-23.2568922,-45.8853581,1
Vila Ema,124.89,3,3,4,1965000.0,-23.2057437,-45.9034166,1
Vila Ema,124.12,2,2,3,1500000.0,-23.2092982,-45.9032947,1
Parque Residencial Aquarius,124.79,1,1,1,680000.0,-23.2190226,-45.908767,0
Vila Tatetuba,124.6,2,1,1,220000.0,-23.1853312,-45.8543047,0
Jardim dos Bandeirantes,124.86,2,1,1,255000.0,-23.2859372,-45.9006658,0
Cidade Morumbi,124.18,2,1,1,285000.0,-23.2434773,-45.9058528,0
Jardim Satélite,124.08,2,1,2,447000.0,-23.2629313,-45.8910605,0
Jardim Satélite,124.25,2,1,1,355000.0,-23.2227325,-45.8949678,0
Jardim Terras do Sul,124.26,2,1,1,280000.0,-23.2466231,-45.8948605,0
Jardim das Indústrias,124.03,2,2,2,479000.0,-23.2292595,-45.9159415,1
Jardim Esplanada,124.52,3,2,4,1350000.0,-23.1979166,-45.9113619,1
Jardim das Indústrias,125.0,4,3,3,1400000.0,-23.2327074,-45.9275569,1
Centro,124.58,2,1,2,430000.0,-23.1909379,-45.886436,0
Parque Residencial Aquarius,124.05,2,2,1,823485.0,-23.2153165,-45.9095676,1
Jardim Ismênia,124.42,2,1,1,267000.0,-23.1768395,-45.851599,0
